#Position (bp)	mapping quality
1.408613235E8	85.33333333333333
1.40865389E8	167.28864587194832
1.408694335E8	0.0
1.40873455E8	251.43356643356643
1.408774675E8	0.0
1.408814765E8	0.0
1.40885475E8	212.66666666666666
1.408894625E8	127.5
1.408934395E8	0.0
1.408974065E8	182.39820895522388
1.409013685E8	153.28801042571678
1.409053235E8	233.30568783528565
1.40909269E8	0.0
1.409132055E8	3.0
1.409171345E8	3.0
1.409210595E8	232.22778192681105
1.40924982E8	0.0
1.40928899E8	0.0
1.40932812E8	0.0
1.409367215E8	65.62981330221703
1.4094061E8	255.0
1.409444775E8	2.2316162013370033
1.409483385E8	209.54991683133645
1.409521765E8	0.0
1.40955989E8	0.0
1.409597955E8	0.0
1.409636015E8	255.0
1.40967392E8	0.0
1.40971157E8	2.779169929522318
1.40974907E8	3.0
1.40978648E8	0.0
1.409823815E8	2.0
1.40986105E8	0.125
1.409898215E8	36.76477757464961
1.40993536E8	0.0
1.409972465E8	0.0
1.41000941E8	0.0
1.410046115E8	0.26721866767030483
1.410082665E8	254.5494699646643
1.41011916E8	255.0
1.410155645E8	0.0
1.410192115E8	87.0
1.410228535E8	0.12821670428893905
1.410264835E8	255.0
1.410301055E8	0.0
1.41033718E8	255.0
1.41037321E8	242.15827338129498
1.410409235E8	0.0
1.41044521E8	0.0
1.410481085E8	0.0
1.410516865E8	0.0
1.41055252E8	255.0
1.410588075E8	191.3607946245983
1.41062361E8	0.0
1.41065914E8	0.0
1.41069467E8	232.26474760116812
1.41073012E8	242.85997244230106
1.41076544E8	3.0
1.41080071E8	3.0
1.41083596E8	0.0
1.41087117E8	0.0
1.41090628E8	0.0
1.410941305E8	234.02147815514465
1.41097631E8	77.02525953478043
1.411011295E8	0.0
1.411046235E8	255.0
1.411081075E8	0.0
1.41111585E8	255.0
1.4111506E8	0.0
1.411185295E8	219.5800973559022
1.41121994E8	0.0
1.411254545E8	19.216549006731242
1.411289005E8	0.0
1.411323185E8	0.0
1.411357175E8	0.0
1.4113911E8	255.0
1.411424975E8	0.0
1.41145878E8	207.77086383601758
1.411492525E8	226.8326942260263
1.41152626E8	255.0
1.41155995E8	0.0
1.411593515E8	0.0
1.41162699E8	210.52325581395348
1.41166043E8	0.0
1.4116937E8	0.0
1.411726805E8	204.0
1.411759855E8	0.0
1.41179286E8	0.0
1.411825805E8	0.0
1.411858675E8	2.9973614775725594
1.41189148E8	0.0
1.41192424E8	86.77777777777777
1.411956955E8	0.0
1.411989605E8	0.9378306878306878
1.41202221E8	3.0
1.4120548E8	224.05938127663242
1.412087365E8	0.0
1.41210776E8	0.0
1.41212402E8	0.0
1.412152325E8	0.0
1.41218463E8	3.0
1.41221688E8	43.45752782659637
1.412249085E8	222.97753247767565
1.41228124E8	199.26903632872202
1.41231335E8	0.0
1.412345425E8	0.0
1.41237746E8	0.0
1.41240947E8	255.0
1.41244146E8	0.0
1.412473425E8	101.2671009771987
1.41250538E8	228.26167355371902
1.412537305E8	243.24169823056053
1.412569125E8	0.0
1.41260086E8	0.0
1.41263258E8	255.0
1.412664245E8	0.0
1.41269585E8	0.0
1.41272743E8	0.0
1.412758995E8	0.0
1.412790545E8	244.33220312861215
1.412822035E8	0.0
1.4128534E8	211.47157842875617
1.41288466E8	0.0
1.41291589E8	0.0
1.412947105E8	0.0
1.412978215E8	27.746152052238806
1.413009225E8	0.0
1.413040225E8	181.50375939849624
1.41307117E8	1.0
1.41310204E8	242.86076638362726
1.413132865E8	0.0
1.413163665E8	103.78888888888889
1.41319445E8	61.68399820708203
1.413225215E8	232.2093840692821
1.41325596E8	0.0
1.41328669E8	1.3636363636363635
1.41331738E8	0.0
1.413348E8	3.0
1.413378585E8	165.17105417105418
1.413409105E8	255.0
1.413439555E8	0.0
1.41346999E8	0.0
1.41350033E8	0.0
1.413530575E8	0.0
1.41356076E8	0.0
