Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
HSF4_6H_1_1	(25, 2.0)	(30, 5.0)	(35, 860.0)	(40, 4504.0)	(45, 4485.0)	(50, 4552.0)	(55, 4431.0)	(60, 4817.0)	(65, 5565.0)	(70, 6644.0)	(75, 8155.0)	(80, 10473.0)	(85, 13443.0)	(90, 16800.0)	(95, 21508.0)	(100, 27558.0)	(105, 33924.0)	(110, 42540.0)	(115, 52655.0)	(120, 68024.0)	(125, 86941.0)	(130, 118270.0)	(135, 190754.0)	(140, 49940005.0)		
HSF4_6H_1_1.sub	(25, 2.0)	(30, 1651.0)	(35, 2162.0)	(40, 3526.0)	(45, 3986.0)	(50, 4146.0)	(55, 4281.0)	(60, 4347.0)	(65, 4623.0)	(70, 5024.0)	(75, 5876.0)	(80, 7012.0)	(85, 9010.0)	(90, 11330.0)	(95, 14426.0)	(100, 18440.0)	(105, 23065.0)	(110, 29674.0)	(115, 36202.0)	(120, 45196.0)	(125, 57178.0)	(130, 73258.0)	(135, 95323.0)	(140, 140633.0)	(145, 192118.0)	(150, 49207705.0)
HSF4_6H_1_2	(25, 12166.0)	(30, 18143.0)	(35, 8556.0)	(40, 14953.0)	(45, 11338.0)	(50, 16169.0)	(55, 9422.0)	(60, 6703.0)	(65, 10377.0)	(70, 10113.0)	(75, 13130.0)	(80, 14087.0)	(85, 18444.0)	(90, 21114.0)	(95, 28474.0)	(100, 33363.0)	(105, 39920.0)	(110, 61833.0)	(115, 64109.0)	(120, 78576.0)	(125, 99156.0)	(130, 325960.0)	(135, 298086.0)	(140, 49452723.0)		
HSF4_6H_1_2.sub	(25, 7591.0)	(30, 9040.0)	(35, 14758.0)	(40, 19109.0)	(45, 18746.0)	(50, 13189.0)	(55, 9685.0)	(60, 12052.0)	(65, 9787.0)	(70, 8868.0)	(75, 9699.0)	(80, 10380.0)	(85, 13907.0)	(90, 14188.0)	(95, 21468.0)	(100, 23117.0)	(105, 27602.0)	(110, 35492.0)	(115, 49963.0)	(120, 57767.0)	(125, 72508.0)	(130, 82211.0)	(135, 116908.0)	(140, 364793.0)	(145, 246611.0)	(150, 48730755.0)
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_1	(150, 50941899.0)																									
HSF4_6H_1_ZKRN250030477-1A_23F5KYLT4_L7_2	(150, 50941899.0)																									
HSF4_6H_2_1	(25, 3.0)	(30, 10.0)	(35, 916.0)	(40, 4871.0)	(45, 4780.0)	(50, 4859.0)	(55, 4609.0)	(60, 4934.0)	(65, 5174.0)	(70, 6152.0)	(75, 7352.0)	(80, 8930.0)	(85, 11177.0)	(90, 13718.0)	(95, 17494.0)	(100, 21983.0)	(105, 27041.0)	(110, 33494.0)	(115, 41851.0)	(120, 53682.0)	(125, 70439.0)	(130, 97629.0)	(135, 169280.0)	(140, 52359899.0)		
HSF4_6H_2_1.sub	(25, 3.0)	(30, 1539.0)	(35, 1967.0)	(40, 3436.0)	(45, 3964.0)	(50, 4303.0)	(55, 4290.0)	(60, 4408.0)	(65, 4536.0)	(70, 4720.0)	(75, 5317.0)	(80, 6159.0)	(85, 7487.0)	(90, 9090.0)	(95, 11420.0)	(100, 14274.0)	(105, 18191.0)	(110, 22338.0)	(115, 27475.0)	(120, 34482.0)	(125, 43347.0)	(130, 55939.0)	(135, 74272.0)	(140, 115503.0)	(145, 162912.0)	(150, 49356354.0)
HSF4_6H_2_2	(25, 8.0)	(30, 11.0)	(35, 924.0)	(40, 4890.0)	(45, 4773.0)	(50, 4876.0)	(55, 4633.0)	(60, 4962.0)	(65, 5201.0)	(70, 6241.0)	(75, 7442.0)	(80, 9070.0)	(85, 11378.0)	(90, 14047.0)	(95, 18048.0)	(100, 22707.0)	(105, 28100.0)	(110, 35378.0)	(115, 45108.0)	(120, 60100.0)	(125, 84520.0)	(130, 130289.0)	(135, 239417.0)	(140, 52228154.0)		
HSF4_6H_2_2.sub	(25, 8.0)	(30, 1543.0)	(35, 1971.0)	(40, 3430.0)	(45, 3982.0)	(50, 4317.0)	(55, 4290.0)	(60, 4432.0)	(65, 4575.0)	(70, 4754.0)	(75, 5353.0)	(80, 6271.0)	(85, 7602.0)	(90, 9242.0)	(95, 11622.0)	(100, 14742.0)	(105, 18805.0)	(110, 23212.0)	(115, 28758.0)	(120, 36804.0)	(125, 47655.0)	(130, 64282.0)	(135, 93370.0)	(140, 162921.0)	(145, 184828.0)	(150, 49248957.0)
