Geneid	HSF4_0H_1	HSF4_0H_2	HSF4_0H_3	HSF4_2H_1	HSF4_2H_2	HSF4_2H_3	HSF4_4H_1	HSF4_4H_2	HSF4_4H_3	HSF4_6H_1	HSF4_6H_2	HSF4_6H_3
FBgn0040736	526	478	667	312	226	950	548	544	370	444	454	518
FBgn0034602	1446	1233	889	1529	1344	1701	1450	1955	1741	1442	1537	1547
FBti0060012	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0033032	11997	9505	9560	9825	10339	8289	9767	8996	8245	9291	9484	10191
FBgn0085784	4	0	4	0	12	4	6	2	0	0	2	0
FBgn0033875	28077	36273	38713	43727	30859	58049	62444	66976	42282	41457	57588	44550
FBgn0034439	17404	11911	7278	12135	10691	7375	10573	10153	10344	12312	13971	13369
FBgn0004795	1823	2123	1999	3469	2562	3465	3163	2930	2664	1828	2786	2480
FBti0061258	15	3	2	0	5	3	2	4	2	0	1	2
FBti0063682	2	1	0	6	0	0	0	0	2	6	0	1
FBgn0004362	139238	124857	114675	142580	119291	104825	122305	107937	110910	121974	125727	124512
FBgn0033204	334	337	302	647	642	466	516	699	484	354	449	510
FBgn0262583	467	37	1217	282	2280	597	1579	19	10	334	10	840
FBgn0033591	20	10	12	6	10	9	2	5	2	4	6	2
FBgn0034420	8811	6937	6167	7882	7672	6751	7283	7199	6482	5488	5757	7743
FBgn0259187	10	0	6	4	4	8	0	5	0	0	2	0
FBti0063819	3	0	0	0	0	0	2	0	0	0	0	0
RR50204_transposable_element	32	10	26	22	14	22	18	10	9	26	10	25
FBgn0287775	5588	4582	4352	4168	3210	2880	3636	2544	3794	2524	3468	4016
FBgn0267792	6906	5532	4849	5447	4515	3319	4156	3263	3578	3599	3844	4540
FBgn0033701	6	6	0	2	4	104	0	56	40	0	0	0
FBgn0286728	4	0	2	4	1	0	0	2	3	3	0	1
FBti0064246	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0263709	12	5	11	8	41	4	2	2	1	3	4	7
FBgn0000715	4	1	6	5	10	8	0	8	8	0	0	4
FBgn0265652	0	0	0	0	0	0	0	0	0	0	0	0
